region,RCM,slope,intercept,RCM - in-situ,bias adj. RMSD,mean obs,RMSD/mean obs,N,min_elev,max_elev
SE,CARRA,-0.07,-23,-167,448,874,0.51,85,1664,2954
SE,RACMO2.3p2_5.5km,-0.12,-55,-322,716,874,0.82,85,1664,2954
SE,NHM-SMAP,-0.48,1028,-20,384,874,0.44,85,1664,2954
SE,MARv3.13.0wBSS_15km,-0.43,830,-107,415,874,0.48,85,1664,2954
SE,MARv3.13.0noBSS_15km,-0.46,910,-103,408,874,0.47,85,1664,2954
NW,CARRA,-0.06,100,-45,113,230,0.49,45,567,3254
NW,RACMO2.3p2_5.5km,-0.02,-38,-86,179,230,0.78,45,567,3254
NW,NHM-SMAP,-0.05,62,-69,160,230,0.7,45,567,3254
NW,MARv3.13.0wBSS_15km,-0.07,136,-62,153,230,0.67,45,567,3254
NW,MARv3.13.0noBSS_15km,-0.07,122,-56,143,230,0.62,45,567,3254
CE,CARRA,2.08,-6396,-222,452,621,0.73,8,2954,2976
CE,RACMO2.3p2_5.5km,14.23,-42590,-389,799,621,1.29,8,2954,2976
CE,NHM-SMAP,-1.49,4214,-196,401,621,0.65,8,2954,2976
CE,MARv3.13.0wBSS_15km,4.98,-15066,-288,587,621,0.94,8,2954,2976
CE,MARv3.13.0noBSS_15km,5.31,-16016,-277,565,621,0.91,8,2954,2976
CW,CARRA,0.0,-112,-109,245,338,0.72,83,323,3254
CW,RACMO2.3p2_5.5km,-0.02,-86,-122,273,338,0.81,83,323,3254
CW,NHM-SMAP,-0.02,-47,-87,214,338,0.63,83,323,3254
CW,MARv3.13.0wBSS_15km,-0.02,-63,-114,259,338,0.77,83,323,3254
CW,MARv3.13.0noBSS_15km,-0.04,-26,-99,235,338,0.7,83,323,3254
SW,CARRA,-0.06,15,-108,309,564,0.55,105,271,2850
SW,RACMO2.3p2_5.5km,-0.27,432,-91,363,564,0.64,105,271,2850
SW,NHM-SMAP,-0.19,320,-144,359,564,0.64,105,271,2850
SW,MARv3.13.0wBSS_15km,-0.13,160,-217,497,564,0.88,105,271,2850
SW,MARv3.13.0noBSS_15km,-0.05,-66,-271,602,564,1.07,105,271,2850
NO,CARRA,0.0,-17,-12,56,178,0.32,17,15,2788
NO,RACMO2.3p2_5.5km,-0.01,-14,-41,96,178,0.54,17,15,2788
NO,NHM-SMAP,0.03,-113,-63,137,178,0.77,17,15,2788
NO,MARv3.13.0wBSS_15km,-0.03,34,-15,93,178,0.52,17,15,2788
NO,MARv3.13.0noBSS_15km,-0.03,52,-3,88,178,0.5,17,15,2788
NE,CARRA,0.02,-85,-25,53,141,0.38,21,2300,3037
NE,RACMO2.3p2_5.5km,-0.02,11,-39,80,141,0.56,21,2300,3037
NE,NHM-SMAP,-0.02,16,-50,103,141,0.73,21,2300,3037
NE,MARv3.13.0wBSS_15km,-0.02,-12,-59,119,141,0.84,21,2300,3037
NE,MARv3.13.0noBSS_15km,-0.02,11,-47,95,141,0.67,21,2300,3037
