region,RCM,slope,intercept,RCM - in-situ,bias adj. RMSD,mean obs,RMSD/mean obs,N,min_elev,max_elev
SE,CARRA,-0.18,274,-122,397,874,0.45,85,1664,2954
SE,RACMO2.3p2_5.5km,-0.15,27,-313,702,874,0.8,85,1664,2954
SE,NHM-SMAP,-0.59,1320,25,420,874,0.48,85,1664,2954
SE,MARv3.13.0wBSS_15km,-0.43,830,-107,415,874,0.48,85,1664,2954
SE,MARv3.13.0noBSS_15km,-0.46,910,-103,408,874,0.47,85,1664,2954
NW,CARRA,-0.08,190,-31,105,230,0.46,45,567,3254
NW,RACMO2.3p2_5.5km,-0.03,-11,-85,179,230,0.78,45,567,3254
NW,NHM-SMAP,-0.08,151,-55,151,230,0.66,45,567,3254
NW,MARv3.13.0wBSS_15km,-0.07,136,-62,153,230,0.67,45,567,3254
NW,MARv3.13.0noBSS_15km,-0.07,122,-56,143,230,0.62,45,567,3254
CE,CARRA,1.78,-5492,-217,441,621,0.71,8,2954,2976
CE,RACMO2.3p2_5.5km,14.02,-41974,-393,808,621,1.3,8,2954,2976
CE,NHM-SMAP,-1.79,5118,-191,391,621,0.63,8,2954,2976
CE,MARv3.13.0wBSS_15km,4.98,-15066,-288,587,621,0.94,8,2954,2976
CE,MARv3.13.0noBSS_15km,5.31,-16016,-277,565,621,0.91,8,2954,2976
CW,CARRA,-0.06,91,-39,151,338,0.45,83,323,3254
CW,RACMO2.3p2_5.5km,-0.03,-47,-111,253,338,0.75,83,323,3254
CW,NHM-SMAP,-0.08,135,-24,160,338,0.47,83,323,3254
CW,MARv3.13.0wBSS_15km,-0.02,-63,-114,259,338,0.77,83,323,3254
CW,MARv3.13.0noBSS_15km,-0.04,-26,-99,235,338,0.7,83,323,3254
SW,CARRA,-0.24,475,-1,243,564,0.43,105,271,2850
SW,RACMO2.3p2_5.5km,-0.3,523,-72,351,564,0.62,105,271,2850
SW,NHM-SMAP,-0.36,780,-40,223,564,0.4,105,271,2850
SW,MARv3.13.0wBSS_15km,-0.13,160,-217,497,564,0.88,105,271,2850
SW,MARv3.13.0noBSS_15km,-0.05,-66,-271,602,564,1.07,105,271,2850
NO,CARRA,-0.01,35,11,52,178,0.29,17,15,2788
NO,RACMO2.3p2_5.5km,-0.01,-9,-35,85,178,0.48,17,15,2788
NO,NHM-SMAP,0.01,-64,-42,96,178,0.54,17,15,2788
NO,MARv3.13.0wBSS_15km,-0.03,34,-15,93,178,0.52,17,15,2788
NO,MARv3.13.0noBSS_15km,-0.03,52,-3,88,178,0.5,17,15,2788
NE,CARRA,0.02,-72,-15,35,141,0.25,21,2300,3037
NE,RACMO2.3p2_5.5km,-0.02,12,-36,73,141,0.51,21,2300,3037
NE,NHM-SMAP,-0.02,25,-41,85,141,0.6,21,2300,3037
NE,MARv3.13.0wBSS_15km,-0.02,-12,-59,119,141,0.84,21,2300,3037
NE,MARv3.13.0noBSS_15km,-0.02,11,-47,95,141,0.67,21,2300,3037
